total_cost,total_power,cpu_score,gpu_score,ram_score,storage_score,psu_score,purpose,purpose_encoded,compatibility,budget_difference,overall_build_quality
398.94,116.0,68.0,2480,22400,147200.0,3.0,Gaming,0,0.0,-1349.4044278505048,18.499378996029357
992.94,185.0,164.5,3980,85312,691200.0,4.0,Gaming,0,1.0,-1060.3560110771218,41.183974228888914
760.44,73.0,103.5,1280,19200,7168000.0,0.0,Editing,1,0.0,-3131.2354677831795,14.482571638451311
1478.94,211.0,114.5,13980,13600,1203200.0,3.0,Office,2,0.0,30.515095287049235,41.93452696068238
1059.94,120.0,226.0,7980,17056,499200.0,4.0,Office,2,0.0,-1566.249633599114,28.793087010470177
10690.939999999999,265.0,121.0,45980,7464,352000.0,1.0,Editing,1,0.0,6899.013679534529,0.0
3430.9399999999987,265.0,117.5,18980,16532,531200.0,0.0,Office,2,0.0,2163.2483223063564,0.0
1050.94,150.0,172.5,15430,16532,294400.0,2.0,Editing,1,1.0,-1221.304876240119,40.18624026303266
972.94,86.0,68.0,12980,20800,1203200.0,3.0,Editing,1,0.0,-849.6008496065319,31.01062899932824
1006.94,270.0,206.0,18890,13600,275200.0,0.0,Editing,1,0.0,-1335.9516766006868,28.216628063066757
1345.94,155.0,267.0,2480,10672,8396800.0,1.0,Gaming,0,0.0,-1941.9691307145426,22.049451199926793
1204.94,45.0,153.5,1980,147200,192000.0,1.0,Gaming,0,0.0,-1819.4858049475542,24.802902960280583
3074.9399999999987,275.0,202.5,29870,108800,2534400.0,1.0,Editing,1,1.0,-385.1988800432787,51.93204250683927
3076.9399999999987,315.0,138.5,18980,17056,44800.0,0.0,Office,2,0.0,656.4636669482743,8.777055811523867
1123.94,195.0,146.0,11480,96000,2764800.0,2.0,Editing,1,0.0,-125.60571109624061,45.39072841573799
1391.94,90.0,250.0,3980,153600,9728000.0,1.0,Gaming,0,0.0,-2232.80894442467,27.297872499295664
1127.94,265.0,227.0,16780,34128,1792000.0,3.0,Office,2,0.0,-749.438522928267,36.114822874015196
1324.94,400.0,151.0,26990,12000,294400.0,1.0,Editing,1,0.0,-1322.7345732816557,30.59575451116063
10711.939999999999,256.0,92.5,45980,147200,793600.0,3.0,Office,2,0.0,7098.727605436079,1.910600430209334
1323.94,105.0,119.0,12980,29856,883200.0,4.0,Office,2,0.0,-2174.6900997228363,28.189806431933302
1024.94,271.0,153.5,12980,160000,217600.0,2.0,Office,2,0.0,193.42467759874194,20.622766374810194
736.94,115.0,142.0,1480,4264,435200.0,1.0,Gaming,0,0.0,-746.2219153403707,21.64113012265767
958.94,65.0,176.0,8980,2668,352000.0,1.0,Gaming,0,0.0,373.61649550003835,2.9475521458881966
1666.94,35.0,174.0,1980,51200,2560000.0,1.0,Office,2,0.0,-866.7682059658168,32.44998962812251
1157.94,150.0,119.0,5980,281600,633600.0,4.0,Editing,1,1.0,-935.142284005738,48.934705214090265
4868.939999999999,215.0,774.25,890,59728,10137600.0,3.0,Office,2,1.0,4322.149490402849,0.0
2782.9399999999996,76.0,74.5,12980,64000,38400.0,5.0,Gaming,0,1.0,519.0351381010714,32.32063367950104
1538.44,220.0,306.5,6980,160000,563200.0,0.0,Gaming,0,0.0,-860.2829217580643,40.30799045365134
1080.94,160.0,267.0,2480,166400,614400.0,1.0,Office,2,0.0,-2496.550835481623,31.86546201498016
4508.439999999999,360.0,138.5,31980,25600,204800.0,1.0,Editing,1,0.0,3805.536126017823,1.8256061954701654
1199.94,193.0,124.5,15430,89600,5632000.0,0.0,Editing,1,0.0,-2705.249812319142,23.86440702737698
1346.94,60.0,102.0,3980,8528,1024000.0,4.0,Office,2,0.0,-372.34762449829554,33.8111213045373
959.94,120.0,162.0,2480,66128,2278400.0,1.0,Editing,1,1.0,-318.4227161647009,46.0871034424633
5511.939999999999,520.0,774.25,29560,16532,326400.0,2.0,Gaming,0,0.0,3035.086015345106,2.1803011157359755
767.94,90.0,165.0,2980,8532,4505600.0,2.0,Editing,1,0.0,-3212.4418388704275,17.00873855851471
864.94,120.0,243.5,1280,12800,1510400.0,2.0,Office,2,0.0,-1525.0138806077634,29.43123149262932
1964.94,75.0,191.5,1980,40000,384000.0,5.0,Editing,1,0.0,424.0207814374005,10.803206764377453
3506.9399999999996,680.0,369.5,33980,6400,10240000.0,4.0,Editing,1,0.0,892.9139838829888,14.499761861608945
4676.939999999999,310.0,168.0,24980,34128,1356800.0,0.0,Gaming,0,0.0,1221.7287382711706,5.807390700955914
1206.94,235.0,281.5,11980,68256,1792000.0,4.0,Editing,1,0.0,-2480.7259892032966,25.917425320986766
2239.44,300.0,342.25,8480,36800,5836800.0,2.0,Office,2,0.0,-1364.5792305432387,40.24916472963893
14243.439999999999,555.0,282.0,58970,153600,947200.0,0.0,Editing,1,0.0,10308.812802082088,0.0
1069.44,115.0,138.5,8980,76800,396800.0,5.0,Office,2,0.0,-422.3158528236022,36.12683677692915
1286.44,400.0,202.5,8480,230400,614400.0,2.0,Editing,1,0.0,700.3858037930123,0.3246878843729623
597.94,138.0,125.5,980,14400,1382400.0,5.0,Editing,1,0.0,-3292.3927216109723,11.660793596587466
763.94,160.0,158.5,9980,10672,332800.0,0.0,Gaming,0,0.0,272.677323704353,0.0
3258.9399999999987,185.0,134.5,29870,108800,4147200.0,3.0,Editing,1,0.0,1266.4719729680228,3.2019618720111116
1612.94,370.0,131.5,31980,28800,614400.0,0.0,Gaming,0,0.0,-355.48243524040777,45.01858399617206
1144.94,215.0,215.0,12980,57600,1126400.0,5.0,Editing,1,0.0,693.1234409328789,0.0
10688.939999999999,315.0,158.0,45980,21328,1689600.0,1.0,Gaming,0,0.0,8616.114273417397,1.6451943816621057
982.94,105.0,200.5,980,153600,1689600.0,1.0,Office,2,0.0,419.84556482063977,0.851652551636437
1014.94,315.0,192.5,13980,1600,4505600.0,4.0,Office,2,0.0,-2784.3657496506025,27.864803869108563
932.94,290.0,138.5,18890,121600,1945600.0,3.0,Office,2,0.0,-1116.7704057694596,34.655860905817434
1220.94,85.0,131.0,9980,6400,5068800.0,1.0,Gaming,0,0.0,564.6608655431758,0.0
13035.939999999999,635.0,1135.5,27980,27200,1408000.0,3.0,Editing,1,0.0,10141.534708709016,0.8276055156976116
1659.94,355.0,243.5,24980,17064,716800.0,3.0,Gaming,0,0.0,-1644.6650613621505,32.8949186629557
835.94,21.0,63.0,4480,17056,2176000.0,0.0,Gaming,0,0.0,-2914.786372172833,15.797096184823669
1062.94,225.0,191.25,16450,42656,614400.0,2.0,Gaming,0,0.0,-1260.6389047100283,30.71222607830828
993.94,40.0,145.5,680,40000,2406400.0,5.0,Gaming,0,0.0,-2455.775318744123,20.03357478040147
1785.94,445.0,192.0,32980,12800,262400.0,0.0,Office,2,0.0,202.74763666830268,28.000044427277953
878.94,195.0,175.5,11980,8532,537600.0,2.0,Editing,1,0.0,-2872.404780474253,16.744194579604976
993.94,123.0,240.0,3980,9600,576000.0,5.0,Editing,1,0.0,79.16994460979095,34.72091214608882
1116.94,195.0,146.0,11980,34128,198400.0,4.0,Editing,1,0.0,454.9931770889034,0.6682603519220764
3431.9399999999996,305.0,427.25,9980,27200,460800.0,1.0,Editing,1,0.0,-75.35867916041434,41.34234391954758
836.94,68.0,160.5,880,12800,595200.0,4.0,Office,2,0.0,-917.5945079112967,32.348633418875494
3356.4399999999996,190.0,227.5,12980,307200,3379200.0,0.0,Editing,1,0.0,1269.261688821145,0.0
1026.44,300.0,168.0,18890,243200,486400.0,4.0,Editing,1,0.0,-1825.3019375488725,31.24688480350708
